location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Goodhue, Minnesota",27049,Confirmed (per 100k),41.001,0.617,0.015038,42.628,3,0,3,-1
"Montcalm, Michigan",26117,Confirmed (per 100k),40.696,0.447,0.010989,56.144,3,0,3,0
"Limestone, Alabama",1083,Confirmed (per 100k),40.439,0.433,0.010714,61.805,3,0,3,0
"Washington, Pennsylvania",42125,Confirmed (per 100k),40.123,0.967,0.024096,25.348,3,0,3,0
"Honolulu, Hawaii",15003,Confirmed (per 100k),39.505,0.513,0.012987,50.906,3,0,3,0
"Okmulgee, Oklahoma",40111,Confirmed (per 100k),38.996,0.743,0.019048,33.963,3,0,3,0
"Warren, Iowa",19181,Confirmed (per 100k),38.861,0.555,0.014286,40.548,3,0,3,0
"Santa Cruz, California",6087,Confirmed (per 100k),38.798,0.837,0.021563,28.981,3,0,3,-1
"Morgan, Illinois",17137,Confirmed (per 100k),38.624,0.849,0.021978,27.031,3,0,3,0
"Antrim, Michigan",26009,Confirmed (per 100k),38.587,0.612,0.015873,41.934,3,0,3,-2
"Jackson, Missouri",29095,Confirmed (per 100k),38.548,0.874,0.022667,28.055,3,0,3,-1
"Humboldt, California",6023,Confirmed (per 100k),38.360,0.211,0.005495,124.073,3,0,3,0
"Polk, Oregon",41053,Confirmed (per 100k),38.334,0.332,0.008658,74.166,3,0,3,0
"Willacy, Texas",48489,Confirmed (per 100k),37.457,0.669,0.017857,35.003,3,0,3,3
"Sheboygan, Wisconsin",55117,Confirmed (per 100k),37.281,0.743,0.019934,30.035,3,0,3,0
"Colorado, Texas",48089,Confirmed (per 100k),37.221,0.665,0.017857,35.003,3,0,3,0
"Washington, Minnesota",27163,Confirmed (per 100k),36.961,0.762,0.020619,30.250,3,0,3,-1
"Nevada, California",6057,Confirmed (per 100k),36.088,0.286,0.007937,83.524,3,0,3,3
"Hale, Texas",48189,Confirmed (per 100k),35.922,0.428,0.011905,53.718,3,0,3,3
"St. Francois, Missouri",29187,Confirmed (per 100k),35.706,0.213,0.005952,113.329,3,0,3,0
"Flathead, Montana",30029,Confirmed (per 100k),35.643,0.413,0.011583,59.032,3,0,3,0
"Washington, Tennessee",47179,Confirmed (per 100k),35.556,0.442,0.012422,53.891,3,0,3,0
"Blue Earth, Minnesota",27013,Confirmed (per 100k),35.475,0.211,0.005952,109.863,3,0,3,0
"Maury, Tennessee",47119,Confirmed (per 100k),35.274,0.296,0.008403,80.405,3,0,3,1
"Douglas, Kansas",20045,Confirmed (per 100k),35.171,0.467,0.013289,50.079,3,0,3,0
"Bradley, Tennessee",47011,Confirmed (per 100k),35.149,0.925,0.026316,23.615,3,0,3,0
"Mason, Kentucky",21161,Confirmed (per 100k),35.149,0.837,0.023810,27.378,3,0,3,-2
"Cherokee, Kansas",20021,Confirmed (per 100k),35.107,0.716,0.020408,32.230,3,0,3,-1
"Polk, Arkansas",5113,Confirmed (per 100k),35.063,0.716,0.020408,30.844,3,0,3,0
"Tuscarawas, Ohio",39157,Confirmed (per 100k),34.788,0.621,0.017857,35.349,3,0,3,0
"Guadalupe, Texas",48187,Confirmed (per 100k),34.762,0.685,0.019704,31.277,3,0,3,0
"Bell, Texas",48027,Confirmed (per 100k),34.718,0.984,0.028345,22.082,3,0,3,-2
